npl,total assets,debt to equity,ROA,Tier 1 capital ratio,net charge offs,total loans,TBTF ,Bank,date,risk based capital ratio,total liabilities,total interest expense,total debt,interest rate,total equity,ROE,equity assets ratio,NPL_tot_loans,tot_loans_tot_assets,loan deposit ratio
8316,2476986,329.1475,0.6848,12.1,1269,730971,1,JPM,2014-03-31,14.5,2257331,2126,722989,0.00294057,219655,7.8094,0.088678337,0.011376648,0.295105019,56.9867
7981,2520336,316.1226,0.6511,11.1,1158,746983,1,JPM,2014-06-30,12.5,2293022,2063,718591,0.002870896,227314,7.3975,0.090191943,0.010684313,0.296382308,56.6003
7494,2527005,298.8572,0.8854,11.5,1114,743257,1,JPM,2014-09-30,12.7,2295728,1819,691188,0.002631701,231277,10.0889,0.091522177,0.01008265,0.294125655,55.6941
7133,2573126,301.4517,0.8718,12.7,1218,757336,1,JPM,2014-12-31,15,2341061,1889,699564,0.002700253,232065,9.8118,0.090187966,0.009418541,0.294325268,55.5465
6961,2577148,295.6806,0.886,12.3,1052,764185,1,JPM,2015-03-31,14.5,2341284,1888,697404,0.002707183,235864,9.8305,0.091521325,0.009109051,0.296523521,55.8661
6883,2449599,277.891,0.9135,13,1007,791247,1,JPM,2015-06-30,15.2,2208394,1830,670287,0.002730174,241205,9.6901,0.098467137,0.008698927,0.323010827,61.4641
6644,2417121,265.8065,0.9684,13.3,963,809457,1,JPM,2015-09-30,15.6,2171393,1815,653161,0.002778794,245728,10.0372,0.101661439,0.008207972,0.334884766,63.5813
6429,2351698,223.0061,0.9926,13.7,1064,837299,1,JPM,2015-12-31,16,2104125,2262,552103,0.004097062,247573,10.1919,0.105274147,0.007678261,0.356040189,65.4286
7435,2423808,246.0783,0.9617,13.5,1110,847313,1,JPM,2016-03-31,16.1,2173651,2172,615582,0.003528368,250157,9.8959,0.103208257,0.008774798,0.349579257,64.1022
7185,2466096,253.6679,0.9748,13.9,1181,872804,1,JPM,2016-06-30,16.3,2213673,2466,640316,0.003851223,252423,9.7069,0.102357329,0.008232089,0.35392134,65.5771
7138,2521029,256.3608,0.9493,13.6,1121,888054,1,JPM,2016-09-30,15.1,2266698,2467,652005,0.003783713,254331,9.3749,0.100883806,0.0080378,0.352258542,64.5323
6883,2490972,244.6316,1.0215,14.1,1280,894765,1,JPM,2016-12-31,15.5,2236782,2713,621829,0.004362936,254190,9.8584,0.102044503,0.007692523,0.359203154,65.0653
6229,2546290,249.9982,1.0326,14.3,1654,895974,1,JPM,2017-03-31,16.4,2290427,2978,639653,0.004655649,255863,10.1423,0.100484627,0.006952211,0.351874296,62.9638
5891,2563174,245.379,1.0534,14.4,1204,908767,1,JPM,2017-06-30,16.4,2304691,3442,634263,0.005426771,258483,10.3698,0.10084489,0.00648241,0.354547526,63.1319
5633,2563074,243.6141,1.0596,14.3,1265,913761,1,JPM,2017-09-30,16.4,2304692,3889,629455,0.006178361,258382,10.5072,0.100809419,0.006164632,0.3565098,63.4985
