npl,total assets,debt to equity,ROA,ROE - COM,Tier 1 capital ratio,net charge offs,total loans,TBTF ,Bank,loan deposit ratio,date,risk based capital ratio
8316,2476986,329.1475,0.6848,7.6087,12.1,1269,730971,1,JPM,0.569866805,2014-03-31,14.5
7981,2520336,316.1226,0.6511,7.2542,11.1,1158,746983,1,JPM,0.566002981,2014-06-30,12.5
7494,2527005,298.8572,0.8854,10.0938,11.5,1114,743257,1,JPM,0.556941224,2014-09-30,12.7
7133,2573126,301.4517,0.8718,9.7456,12.7,1218,757336,1,JPM,0.555465016,2014-12-31,15
6961,2577148,295.6806,0.886,9.8515,12.3,1052,764185,1,JPM,0.558660913,2015-03-31,14.5
6883,2449599,277.891,0.9135,9.8058,13,1007,791247,1,JPM,0.614640978,2015-06-30,15.2
6644,2417121,265.8065,0.9684,10.2053,13.3,963,809457,1,JPM,0.635812729,2015-09-30,15.6
6429,2351698,223.0061,0.9926,10.3371,13.7,1064,837299,1,JPM,0.654285525,2015-12-31,16
7435,2423808,246.0783,0.9617,10.0351,13.5,1110,847313,1,JPM,0.641021897,2016-03-31,16.1
7185,2466096,253.6679,0.9748,9.9186,13.9,1181,872804,1,JPM,0.655771256,2016-06-30,16.3
7138,2521029,256.3608,0.9493,9.5972,13.6,1121,888054,1,JPM,0.645323361,2016-09-30,15.1
6883,2490972,244.6316,1.0215,10.1578,14.1,1280,894765,1,JPM,0.650653479,2016-12-31,15.5
6229,2546290,249.9982,1.0326,10.4718,14.3,1654,895974,1,JPM,0.629637828,2017-03-31,16.4
5891,2563174,245.379,1.0534,10.7208,14.4,1204,908767,1,JPM,0.63131924,2017-06-30,16.4
5633,2563074,243.6141,1.0596,10.8742,14.3,1265,913761,1,JPM,0.634985306,2017-09-30,16.4
5943,2533600,237.3022,0.9729,9.8596,13.9,1264,930697,1,JPM,0.644535043,2017-12-31,15.9
5883,2609785,248.7808,1.0359,10.7969,13.5,1299.5,934424,1,JPM,0.628411909,2018-03-31,15.3
5310,2590050,248.9629,1.0864,11.278,13.6,1335,948414,1,JPM,0.653122809,2018-06-30,15.5
4644,2615183,249.4883,1.1448,12.0128,13.6,1252,954318,1,JPM,0.654197189,2018-09-30,15.4
4831,2622532,250.3238,1.2596,13.3488,13.7,1033,984554,1,JPM,0.669461319,2018-12-31,15.5
5272,2737188,283.7533,1.2321,13.4875,13.8,1236,956245,1,JPM,0.64029647,2019-03-31,15.7
4870,2727379,262.3676,1.2892,13.915,14,1361,956889,1,JPM,0.627731226,2019-06-30,15.8
4951,2764661,268.8214,1.3003,14.2096,14.1,1403,945218,1,JPM,0.61970902,2019-09-30,15.9
4080,2687379,236.4857,1.3722,14.9067,14.1,1371,997620,1,JPM,0.638504996,2019-12-31,16
6613,3139431,283.7504,1.025,12.2058,13.3,1469,1015375,1,JPM,0.553033781,2020-03-31,15.5
9319,3213115,280.4841,0.8468,9.9412,14.3,1560,978518,1,JPM,0.506733974,2020-06-30,16.7
11002,3246076,254.4946,0.849,9.9791,15,1180,989740,1,JPM,0.49451988,2020-09-30,17.3
10573,3384757,239.0322,0.9595,11.3352,15,1050,1012853,1,JPM,0.472356159,2020-12-31,17.3
9706,3689336,282.6453,1.1881,16.1674,15,1057,1011307,1,JPM,0.443923301,2021-03-31,17.2
9072,3684256,259.9533,1.3868,18.8794,15.1,734,1040954,1,JPM,0.45156443,2021-06-30,17.1
8243,3757576,257.8715,1.4299,19.4558,15.8,524,1044615,1,JPM,0.434829935,2021-09-30,16.9
7795,3743567,232.0746,1.3561,18.2874,15,550,1077714,1,JPM,0.43768537,2021-12-31,16.8
7758,3954687,257.9428,1.1072,16.1275,13.7,582,1073285,1,JPM,0.419054376,2022-03-31,15.4
7162,3841314,253.7927,1.0369,14.6772,14.1,657,1104155,1,JPM,0.446747054,2022-06-30,15.7
6674,3773884,253.0279,0.9843,13.8022,14.1,727,1112633,1,JPM,0.461938915,2022-09-30,16
6720,3665743,236.0785,1.017,13.6939,14.9,887,1135647,1,JPM,0.485282109,2022-12-31,16.8
6895,3744305,248.215,1.0915,15.2215,15.4,1137,1128896,1,JPM,0.474874151,2023-03-31,17.4
7273,3868240,266.2388,1.241,17.1083,15.4,1411,1300069,1,JPM,0.541929801,2023-06-30,17.3
7520,3898333,276.0492,1.3361,18.1555,15.9,1497,1310059,1,JPM,0.550554606,2023-09-30,17.8
6917,3875393,251.4673,1.3142,16.8938,16.6,2164,1323706,1,JPM,0.551386103,2023-12-31,18.4
7677,4090727,296.1564,1.2852,16.6575,16.4,1956,1309616,1,JPM,0.539289716,2024-03-31,18.2
7791,4143003,318.3153,1.3488,17.354,16.7,2231,1320700,1,JPM,0.551088449,2024-06-30,18.5
8075,4210048,310.2803,1.3264,16.9557,16.4,2087,1340011,1,JPM,0.55126972,2024-09-30,18.2
8837,4002814,272.8264,1.4844,18.1918,16.8,2364,1347988,1,JPM,0.560253563,2024-12-31,18.5
82.872,18221.163,44.7519,0.7914,7.6409,12,7.785,13660.869,0,Wintrust Financial,0.902956466,2014-03-31,12.6
77.344,18895.681,50.7343,0.7914,7.7899,11.7,6.584,14388.777,0,Wintrust Financial,0.924944023,2014-06-30,13.2
73.78,19169.345,38.8698,0.7883,7.7953,11.5,6.989,14669.967,0,Wintrust Financial,0.913149229,2014-09-30,12.9
70.42,20010.727,63.9106,0.8062,7.805,11.7,5.868,14987.397,0,Wintrust Financial,0.920497519,2014-12-31,13
73.619,20382.271,46.7118,0.7946,7.5881,10.1,3.083,15609.108,0,Wintrust Financial,0.921501911,2015-03-31,12.5
66.339,20790.202,47.934,0.808,7.9743,10.7,3.854,16204.343,0,Wintrust Financial,0.948597734,2015-06-30,13.1
77.605,22035.216,47.5986,0.8126,7.5531,10.3,5.678,16831.825,0,Wintrust Financial,0.923381168,2015-09-30,12.6
73.072,22917.166,65.256,0.7736,7.2141,10,6.562,17654.828,0,Wintrust Financial,0.947166023,2015-12-31,12.2
76.532,23488.168,59.7518,0.7303,7.1624,9.6,3.493,17899.815,0,Wintrust Financial,0.931453862,2016-03-31,12.1
77.163,24420.616,48.5268,0.7605,7.2072,10.1,4.91,18834.159,0,Wintrust Financial,0.93974623,2016-06-30,12.4
75.314,25321.759,39.3912,0.7654,7.6877,9.8,5.713,19756.835,0,Wintrust Financial,0.934232897,2016-09-30,12.1
75.457,25668.553,30.0063,0.793,8.4641,9.7,2.767,20179.691,0,Wintrust Financial,0.931715863,2016-12-31,11.9
71.76,25778.893,31.0646,0.8516,8.615,10,1.594,20272.381,0,Wintrust Financial,0.93290242,2017-03-31,12.2
61.84,26929.265,34.997,0.8774,8.5737,9.8,5.256,21176.288,0,Wintrust Financial,0.936767961,2017-06-30,12
61.5,27358.162,38.3007,0.8997,8.9167,10,4.469,21329.664,0,Wintrust Financial,0.931627225,2017-09-30,12.2
80.936,27907.467,44.796,0.9245,9.064666667,10,3.691,21901.6515,0,Wintrust Financial,0.940819788,2017-12-31,12.1
77.899,28456.772,51.2913,0.938725,9.475813333,10,6.734,22473.639,0,Wintrust Financial,0.922355723,2018-03-31,12
114.844,29464.588,42.3389,0.95295,9.88696,10,1.1,23066.272,0,Wintrust Financial,0.925734873,2018-06-30,12.1
105.326,30142.731,43.4398,0.9814,10.29810667,10,4.668,23462.062,0,Wintrust Financial,0.899112915,2018-09-30,12
110.612,31244.849,37.1211,1.0383,10.70925333,9.7,7.158,24084.761,0,Wintrust Financial,0.898526126,2018-12-31,11.6
189.34,32358.621,40.3623,1.0952,11.1204,9.8,5.139,24463.186,0,Wintrust Financial,0.888962188,2019-03-31,11.7
114.284,33641.769,49.2407,1.1521,10.5973,9.6,22.29,25699.634,0,Wintrust Financial,0.895133917,2019-06-30,12.4
105.908,34911.902,47.4728,1.0846,10.5466,9.7,9.449,26174.898,0,Wintrust Financial,0.86939177,2019-09-30,12.4
160.415,36620.583,49.0225,1.0741,10.3594,9.6,12.669,27177.603,0,Wintrust Financial,0.863832455,2019-12-31,12.2
151.116,38799.847,63.5647,1.0482,9.415,9.3,5.285,28464.255,0,Wintrust Financial,0.798394356,2020-03-31,11.9
160.751,43540.017,60.8191,0.9257,7.2729,10.1,15.403,32236.066,0,Wintrust Financial,0.899332845,2020-06-30,12.8
114.15,43731.718,59.5414,0.6985,7.385,10.2,9.284,33095.226,0,Wintrust Financial,0.892231348,2020-09-30,12.9
94.115,45080.768,64.6346,0.7064,7.4724,10,10.337,33351.163,0,Wintrust Financial,0.880613351,2020-12-31,12.6
82.698,45682.202,57.2948,0.7172,9.6288,10.2,13.345,34431.426,0,Wintrust Financial,0.887302325,2021-03-31,12.6
83.94,46738.45,56.461,0.9075,11.179,10.1,1.922,33896.181,0,Wintrust Financial,0.848410783,2021-06-30,12.4
67.069,47832.271,55.2641,1.0341,11.5057,9.9,0.002,34189.355,0,Wintrust Financial,0.812183867,2021-09-30,12.1
44.899,50142.143,54.4668,1.0235,11.2504,9.6,6.181,35607.016,0,Wintrust Financial,0.843381995,2021-12-31,11.6
65.879,50250.661,53.7508,0.9791,10.4152,9.6,2.532,35887.092,0,Wintrust Financial,0.842552,2022-03-31,11.6
78.91,50969.332,49.4876,0.9181,9.7513,9.9,9.496,37566.335,0,Wintrust Financial,0.877775717,2022-06-30,11.9
67.1,52382.939,74.4745,0.8798,10.5957,9.9,3.169,38543.773,0,Wintrust Financial,0.898402971,2022-09-30,11.8
90.218,52949.649,75.5735,0.9253,11.374,10,5.079,39496.42,0,Wintrust Financial,0.924580386,2022-12-31,11.9
93.549,52873.511,71.5915,0.9888,12.3123,10.1,5.465,39867.964,0,Wintrust Financial,0.9052937,2023-03-31,12.1
104.85,54286.176,67.0873,1.0909,13.2989,10.1,17.03,41362.136,0,Wintrust Financial,0.919307996,2023-06-30,11.9
118.743,55555.246,72.9994,1.1833,13.9546,10.2,8.118,41750.84,0,Wintrust Financial,0.919679354,2023-09-30,12
122.408,56259.934,68.2983,1.1932,12.691,10.3,14.889,42424.553,0,Wintrust Financial,0.913360518,2023-12-31,12.1
151.399,57576.933,72.5423,1.1402,12.5016,10.3,21.75,43570.59,0,Wintrust Financial,0.906794448,2024-03-31,12.2
161.059,59781.516,78.2889,1.1403,12.2908,10.3,29.986,45087.382,0,Wintrust Financial,0.877101679,2024-06-30,12.1
154.641,63788.424,68.286,1.1,11.4293,10.6,26.735,47528.514,0,Wintrust Financial,0.905092134,2024-09-30,12.2
