date,interest expense,debt,TBTF,interest rate,Bank,Total Loans,Npl
3/31/2014,2126,722989,1,0.00294057,JPM,730971,8316
6/30/2014,2063,718591,1,0.002870896,JPM,746983,7981
9/30/2014,1819,691188,1,0.002631701,JPM,743257,7494
12/31/2014,1889,699564,1,0.002700253,JPM,757336,7133
3/31/2015,1888,697404,1,0.002707183,JPM,764185,6961
6/30/2015,1830,670287,1,0.002730174,JPM,791247,6883
9/30/2015,1815,653161,1,0.002778794,JPM,809457,6644
12/31/2015,2262,552103,1,0.004097062,JPM,837299,6429
3/31/2016,2172,615582,1,0.003528368,JPM,847313,7435
6/30/2016,2466,640316,1,0.003851223,JPM,872804,7185
9/30/2016,2467,652005,1,0.003783713,JPM,888054,7138
12/31/2016,2713,621829,1,0.004362936,JPM,894765,6883
3/31/2017,2978,639653,1,0.004655649,JPM,895974,6229
6/30/2017,3442,634263,1,0.005426771,JPM,908767,5891
9/30/2017,3889,629455,1,0.006178361,JPM,913761,5633
12/31/2017,3966,606765,1,0.006536303,JPM,930697,5943
3/31/2018,4383,637379,1,0.006876599,JPM,934424,5883
6/30/2018,5081,640975,1,0.007926986,JPM,948414,5310
9/30/2018,5531,646065,1,0.008561058,JPM,954318,4644
12/31/2018,6684,642118,1,0.010409302,JPM,984554,4831
3/31/2019,6936,737296,1,0.009407348,JPM,956245,5272
6/30/2019,7205,690591,1,0.010433093,JPM,956889,4870
9/30/2019,6893,710624,1,0.009699926,JPM,945218,4951
12/31/2019,5761,618008,1,0.009321886,JPM,997620,4080
3/31/2020,4722,741332,1,0.006369616,JPM,1015375,6613
6/30/2020,2259,741785,1,0.003045357,JPM,978518,9319
9/30/2020,1687,689968,1,0.002445041,JPM,989740,11002
12/31/2020,1292,667746,1,0.001934867,JPM,1012853,10573
3/31/2021,1382,793425,1,0.001741816,JPM,1011307,9706
6/30/2021,1353,744470,1,0.0018174,JPM,1040954,9072
9/30/2021,1400,747933,1,0.001871825,JPM,1044615,8243
12/31/2021,1418,682594,1,0.00207737,JPM,1077714,7795
3/31/2022,1624,737456,1,0.002202165,JPM,1073285,7758
6/30/2022,3518,726210,1,0.004844329,JPM,1104155,7162
9/30/2022,8093,728766,1,0.011105074,JPM,1112633,6674
12/31/2022,12862,690133,1,0.018636987,JPM,1135647,6720
3/31/2023,16293,752295,1,0.021657727,JPM,1128896,6895
6/30/2023,19865,832039,1,0.023875083,JPM,1300069,7273
9/30/2023,21830,876100,1,0.024917247,JPM,1310059,7520
12/31/2023,23333,824506,1,0.02829937,JPM,1323706,6917
3/31/2024,24356,996972,1,0.024429974,JPM,1309616,7677
6/30/2024,25767,1084029,1,0.023769659,JPM,1320700,7791
9/30/2024,27011,1073061,1,0.025171915,JPM,1340011,8075
12/31/2024,24216,940591,1,0.025745515,JPM,1347988,8837
3/31/2014,2850,598378,1,0.004762876,Bank of America ,928534,17109
6/30/2014,2928,609115,1,0.004806974,Bank of America ,921099,14676
9/30/2014,2639,578182,1,0.004564307,Bank of America ,899224,13540
12/31/2014,2517,549780,1,0.004578195,Bank of America ,894227,11932
3/31/2015,2512,549677,1,0.004569957,Bank of America ,887688,11205
6/30/2015,2644,568937,1,0.004647263,Bank of America ,893363,10747
9/30/2015,2496,545296,1,0.00457733,Bank of America ,896531,9799
12/31/2015,2897,506116,1,0.005723984,Bank of America ,904436,9377
3/31/2016,2523,526693,1,0.004790267,Bank of America ,907305,8850
6/30/2016,2456,515012,1,0.004768821,Bank of America ,912001,8364
9/30/2016,2409,507218,1,0.004749437,Bank of America ,915594,8349
12/31/2016,2573,474089,1,0.005427251,Bank of America ,915749,7707
3/31/2017,2652,528928,1,0.005013915,Bank of America ,920993,7274
6/30/2017,3160,534757,1,0.005909226,Bank of America ,922548,6802
9/30/2017,3496,537569,1,0.006503351,Bank of America ,940360,6570
12/31/2017,3604,518120,1,0.006955918,Bank of America ,948179,6470
3/31/2018,3830,549075,1,0.006975368,Bank of America ,943305,6378
6/30/2018,4541,532148,1,0.00853334,Bank of America ,942335,5897
9/30/2018,4904,524699,1,0.009346311,Bank of America ,935377,5154
12/31/2018,5332,504737,1,0.010563917,Bank of America ,957262,4944
3/31/2019,5795,530727,1,0.010918985,Bank of America ,951912,4850
6/30/2019,6035,552592,1,0.010921258,Bank of America ,969216,4187
9/30/2019,5729,564926,1,0.010141151,Bank of America ,982721,3476
12/31/2019,4786,523539,1,0.00914163,Bank of America ,992584,3552
3/31/2020,3968,534024,1,0.007430378,Bank of America ,1058647,4056
6/30/2020,1692,539572,1,0.003135819,Bank of America ,1006325,4393
9/30/2020,1357,549034,1,0.002471614,Bank of America ,959606,4550
12/31/2020,1208,534372,1,0.002260597,Bank of America ,937104,4952
3/31/2021,1198,575166,1,0.002082877,Bank of America ,910983,5162
6/30/2021,1154,620110,1,0.00186096,Bank of America ,927205,4907
9/30/2021,1242,618544,1,0.002007941,Bank of America ,937151,4714
12/31/2021,1144,607747,1,0.001882362,Bank of America ,953792,4567
3/31/2022,1322,635306,1,0.002080887,Bank of America ,1003415,4625
6/30/2022,2531,605192,1,0.004182144,Bank of America ,1037420,4164
9/30/2022,5856,590561,1,0.009915995,Bank of America ,1040095,3983
12/31/2022,10394,589307,1,0.017637666,Bank of America ,1052618,3808
3/31/2023,14207,747269,1,0.019011895,Bank of America ,1053215,3918
6/30/2023,18196,713535,1,0.025501202,Bank of America ,1058012,4126
9/30/2023,19245,734078,1,0.02621656,Bank of America ,1056740,4833
12/31/2023,21683,723501,1,0.029969551,Bank of America ,1059734,5485
3/31/2024,22253,779225,1,0.028557862,Bank of America ,1057727,5883
6/30/2024,23152,799354,1,0.028963388,Bank of America ,1063828,5473
9/30/2024,23524,831641,1,0.028286244,Bank of America ,1086151,5629
12/31/2024,21618,760106,1,0.02844077,Bank of America ,1105380,5975
3/31/2014,372,598378,1,0.000621681,US Bank,240218,1619
6/30/2014,358,609115,1,0.000587738,US Bank,246892,1596
9/30/2014,365,578182,1,0.000631289,US Bank,249530,1567
12/31/2014,358,549780,1,0.00065117,US Bank,252643,1466
3/31/2015,363,549677,1,0.000660388,US Bank,253313,1350
6/30/2015,352,568937,1,0.000618698,US Bank,257137,1239
9/30/2015,349,545296,1,0.000640019,US Bank,259263,1242
12/31/2015,337,506116,1,0.000665855,US Bank,264033,1192
3/31/2016,386,526693,1,0.000732875,US Bank,268527,1425
6/30/2016,407,515012,1,0.000790273,US Bank,272832,1389
9/30/2016,427,507218,1,0.000841847,US Bank,276864,1400
12/31/2016,419,474089,1,0.0008838,US Bank,278033,1368
3/31/2017,413,528928,1,0.000780825,US Bank,276315,1290
6/30/2017,470,534757,1,0.000878904,US Bank,280944,1142
9/30/2017,528,537569,1,0.000982199,US Bank,282476,1035
12/31/2017,555,518120,1,0.00107118,US Bank,283986,1008
3/31/2018,623,549075,1,0.001134636,US Bank,282688,1024
6/30/2018,751,532148,1,0.001411262,US Bank,283433,912
9/30/2018,872,524699,1,0.001661905,US Bank,285994,813
12/31/2018,1008,504737,1,0.00199708,US Bank,288866,817
3/31/2019,1092,530727,1,0.002057555,US Bank,290424,858
6/30/2019,1146,552592,1,0.002073863,US Bank,295847,803
9/30/2019,1156,564926,1,0.002046286,US Bank,299166,829
12/31/2019,1048,523539,1,0.002001761,US Bank,301680,692
3/31/2020,893,534024,1,0.001672209,US Bank,322928,815
6/30/2020,472,539572,1,0.000874767,US Bank,318513,1071
9/30/2020,346,549034,1,0.000630198,US Bank,314603,1181
12/31/2020,304,534372,1,0.000568892,US Bank,306468,1224
3/31/2021,278,575166,1,0.000483339,US Bank,303418,1128
6/30/2021,245,620110,1,0.000395091,US Bank,302768,1018
9/30/2021,238,618544,1,0.000384775,US Bank,303799,906
12/31/2021,232,607747,1,0.000381738,US Bank,319803,834
3/31/2022,245,635306,1,0.000385641,US Bank,322255,765
6/30/2022,390,605192,1,0.000644424,US Bank,336312,725
9/30/2022,901,590561,1,0.001525668,US Bank,346355,630
12/31/2022,1681,589307,1,0.002852503,US Bank,390413,972
3/31/2023,2330,747269,1,0.00311802,US Bank,390247,1139
6/30/2023,3111,713535,1,0.004359982,US Bank,381789,1041
9/30/2023,3518,734078,1,0.004792406,US Bank,439156,1267
12/31/2023,3652,723501,1,0.005047678,US Bank,376036,1449
3/31/2024,3779,779225,1,0.00484969,US Bank,376668,1741
6/30/2024,3962,799354,1,0.004956502,US Bank,378715,1810
9/30/2024,3951,831641,1,0.004750848,US Bank,377375,1809
12/31/2024,3685,760106,1,0.004848008,US Bank,382405,1793
3/31/2014,17.32,868.251,0,0.019948149,Wintrust Financial,13660.869,82.872
6/30/2014,17.37,1013.791,0,0.017133709,Wintrust Financial,14388.777,77.344
9/30/2014,19.006,788.476,0,0.024104729,Wintrust Financial,14669.967,73.78
12/31/2014,18.996,1322.836,0,0.014360057,Wintrust Financial,14987.397,70.42
3/31/2015,18.466,995.464,0,0.018550143,Wintrust Financial,15609.108,73.619
6/30/2015,18.349,1085.696,0,0.016900679,Wintrust Financial,16204.343,66.339
9/30/2015,19.839,1111.777,0,0.017844406,Wintrust Financial,16831.825,77.605
12/31/2015,20.281,1534.999,0,0.013212386,Wintrust Financial,17654.828,73.072
3/31/2016,20.722,1445.062,0,0.014339869,Wintrust Financial,17899.815,76.532
6/30/2016,21.794,1273.147,0,0.017118212,Wintrust Financial,18834.159,77.163
9/30/2016,23.513,1053.507,0,0.022318789,Wintrust Financial,19756.835,75.314
12/31/2016,24.235,808.854,0,0.029962144,Wintrust Financial,20179.691,75.457
3/31/2017,23.179,858.931,0,0.02698587,Wintrust Financial,20272.381,71.76
6/30/2017,26.772,993.726,0,0.026941028,Wintrust Financial,21176.288,61.84
9/30/2017,31.7,1114.14,0,0.028452439,Wintrust Financial,21329.664,61.5
12/31/2017,33.9115,1334.4545,0,0.025412256,Wintrust Financial,21901.6515,80.936
3/31/2018,36.123,1554.769,0,0.023233677,Wintrust Financial,22473.639,77.899
6/30/2018,45.877,1315.415,0,0.034876446,Wintrust Financial,23066.272,114.844
9/30/2018,57.399,1381.309,0,0.041554062,Wintrust Financial,23462.062,105.326
12/31/2018,66.508,1212.957,0,0.054831292,Wintrust Financial,24084.761,110.612
3/31/2019,71.984,1361.005,0,0.052890327,Wintrust Financial,24463.186,189.34
6/30/2019,80.612,1697.303,0,0.047494172,Wintrust Financial,25699.634,114.284
9/30/2019,89.775,1680.691,0,0.05341553,Wintrust Financial,26174.898,105.908
12/31/2019,87.852,1809.542,0,0.048549301,Wintrust Financial,27177.603,160.415
3/31/2020,82.624,2352.142,0,0.035127131,Wintrust Financial,28464.255,151.116
6/30/2020,66.685,2426.815,0,0.027478403,Wintrust Financial,32236.066,160.751
9/30/2020,55.22,2425.768,0,0.022763925,Wintrust Financial,33095.226,114.15
12/31/2020,48.584,2660.358,0,0.018262204,Wintrust Financial,33351.163,94.115
3/31/2021,43.574,2436.469,0,0.017884077,Wintrust Financial,34431.426,82.698
6/30/2021,39.989,2449.849,0,0.016323047,Wintrust Financial,33896.181,83.94
9/30/2021,34.961,2437.323,0,0.014344016,Wintrust Financial,34189.355,67.069
12/31/2021,32.003,2450.293,0,0.013060887,Wintrust Financial,35607.016,44.899
3/31/2022,28.958,2414.623,0,0.011992762,Wintrust Financial,35887.092,65.879
6/30/2022,34.164,2339.586,0,0.014602584,Wintrust Financial,37566.335,78.91
9/30/2022,65.03,3454.112,0,0.018826836,Wintrust Financial,38543.773,67.1
12/31/2022,123.929,3625.137,0,0.034186018,Wintrust Financial,39496.42,90.218
3/31/2023,181.695,3590.678,0,0.050601864,Wintrust Financial,39867.964,93.549
6/30/2023,249.639,3382.484,0,0.073803453,Wintrust Financial,41362.136,104.85
9/30/2023,300.042,3661.367,0,0.081948081,Wintrust Financial,41750.84,118.743
12/31/2023,323.874,3687.784,0,0.087823473,Wintrust Financial,42424.553,122.408
3/31/2024,341.319,3943.69,0,0.086548131,Wintrust Financial,43570.59,151.399
6/30/2024,379.369,4334.567,0,0.087521776,Wintrust Financial,45087.382,161.059
9/30/2024,406.021,4370.106,0,0.09290873,Wintrust Financial,47528.514,154.641
12/31/2024,388.353,4237.961,0,0.091636756,Wintrust Financial,48386.298,154.641
3/31/2014,49.7,6408.1,0,0.007755809,Northern Trust,29660.8,259.9
6/30/2014,47.2,5467.2,0,0.008633304,Northern Trust,30697.6,229.3
9/30/2014,44.5,6784.3,0,0.006559262,Northern Trust,30719.9,220.5
12/31/2014,40,6892.5,0,0.00580341,Northern Trust,31640.2,215.7
3/31/2015,38.2,7071.4,0,0.005402042,Northern Trust,32630.2,219.6
6/30/2015,37.6,6840.8,0,0.005496433,Northern Trust,32953.8,208.7
9/30/2015,36.8,8077.5,0,0.004555865,Northern Trust,33378.4,198.6
12/31/2015,41.3,8099.2,0,0.005099269,Northern Trust,33180.9,180.1
3/31/2016,44.2,7959.8,0,0.005552903,Northern Trust,34144.9,164
6/30/2016,45,10101.5,0,0.004454784,Northern Trust,34557.1,152.2
9/30/2016,46.1,7857.4,0,0.005867081,Northern Trust,33423,173.3
12/31/2016,46.7,8892.9,0,0.00525138,Northern Trust,33822.1,160.2
3/31/2017,56.8,7975.8,0,0.007121543,Northern Trust,33471.8,179.9
6/30/2017,75.7,8120.4,0,0.009322201,Northern Trust,33499,159
9/30/2017,99.6,12156.4,0,0.008193215,Northern Trust,33336.1,137.3
12/31/2017,108.1,12395.5,0,0.008720907,Northern Trust,32592.2,150.7
3/31/2018,121.9,4340.4,0,0.028084969,Northern Trust,32108.9,124.7
6/30/2018,154.4,15024.2,0,0.010276754,Northern Trust,32473.2,128.4
9/30/2018,191,5981.1,0,0.031933925,Northern Trust,31354,113.6
12/31/2018,231.4,6163.8,0,0.037541776,Northern Trust,32490,109.3
3/31/2019,240.8,4628.7,0,0.052023246,Northern Trust,30620.6,116.1
6/30/2019,222.8,4976,0,0.04477492,Northern Trust,30982.3,115.1
9/30/2019,203.1,5053.5,0,0.040189967,Northern Trust,30844.2,113.1
12/31/2019,155.3,5644.5,0,0.027513509,Northern Trust,31409.6,83.6
3/31/2020,121.1,8546.9,0,0.01416888,Northern Trust,37837.7,103.9
6/30/2020,34.2,5896.6,0,0.005799953,Northern Trust,33757.3,98.5
9/30/2020,26.8,7602.8,0,0.003525017,Northern Trust,32766.3,98
12/31/2020,18.2,5590.1,0,0.003255756,Northern Trust,33759.7,131.7
3/31/2021,9.8,9959.1,0,0.000984025,Northern Trust,34344.3,123.8
6/30/2021,7.5,5008.4,0,0.001497484,Northern Trust,37406.6,106.5
9/30/2021,4.9,4540,0,0.001079295,Northern Trust,39456.6,141
12/31/2021,1.6,4846.4,0,0.000330142,Northern Trust,40480.6,122.3
3/31/2022,2.5,7335.4,0,0.000340813,Northern Trust,39239.1,100.8
6/30/2022,66.1,5588.5,0,0.011827861,Northern Trust,41207.8,89.7
9/30/2022,286.3,8701.9,0,0.032900861,Northern Trust,43991.9,76.4
12/31/2022,635.6,7880.7,0,0.080652734,Northern Trust,42893.3,45.9
3/31/2023,924.2,9690.3,0,0.095373724,Northern Trust,42369.5,48.9
6/30/2023,1223.5,15123.6,0,0.08090005,Northern Trust,43546.7,47.1
9/30/2023,1478.8,12834.8,0,0.115218001,Northern Trust,43577,68.8
12/31/2023,1716.5,17329.3,0,0.099051895,Northern Trust,47617,63.6
3/31/2024,1917.5,16450.6,0,0.116561098,Northern Trust,47342.6,37
6/30/2024,1983.6,16676.3,0,0.118947248,Northern Trust,42135.2,38.5
9/30/2024,1967.9,16734,0,0.1175989,Northern Trust,41950.3,39.3
12/31/2024,1716.2,16098.5,0,0.106606206,Northern Trust,43390.6,56
3/31/2014,1.694,172.238,0,0.009835228,Busey,2232.632,14.34
6/30/2014,1.635,195.563,0,0.008360477,Busey,2324.068,11.232
9/30/2014,1.6,242.282,0,0.006603875,Busey,2379.915,8.681
12/31/2014,1.57,303.893,0,0.005166292,Busey,2415.69,9
3/31/2015,1.593,288.675,0,0.005518316,Busey,2484.851,10.202
6/30/2015,1.559,279.352,0,0.005580773,Busey,2514.576,8.377
9/30/2015,1.535,281.961,0,0.005444015,Busey,2581.014,7.875
12/31/2015,1.52,307.972,0,0.004935514,Busey,2637.09,12.748
3/31/2016,1.582,301.141,0,0.005253353,Busey,2585.512,17.368
6/30/2016,2.586,490.727,0,0.005269732,Busey,4059.091,22.443
9/30/2016,3.057,609.897,0,0.005012322,Busey,4073.995,16.253
12/31/2016,3.004,415.025,0,0.007238118,Busey,4135.219,21.423
3/31/2017,2.914,313.984,0,0.009280728,Busey,3969.396,20.544
6/30/2017,3.643,477.908,0,0.007622806,Busey,4088.879,18.935
9/30/2017,6.578,657.009,0,0.010012039,Busey,5225.56,27.43
12/31/2017,7.801,749.693,0,0.010405593,Busey,5614.348,24.624
3/31/2018,8.876,460.477,0,0.019275664,Busey,5560.487,32.588
6/30/2018,9.953,615.315,0,0.016175455,Busey,5589.261,25.215
9/30/2018,11.987,675.65,0,0.017741434,Busey,5656.358,40.395
12/31/2018,13.811,405.637,0,0.034047683,Busey,5594.323,34.997
3/31/2019,15.898,518.211,0,0.030678623,Busey,6535.372,36.23
6/30/2019,18.038,488.944,0,0.03689175,Busey,6571.733,32.816
9/30/2019,18.215,497.577,0,0.036607399,Busey,6739.76,31.827
